seller_article,ozon_sku,impr,clicks,ctr_pct,spend,cpc,orders,sales,drr_pct
2650v2-rx580-32-512-K1,3088337397,140079.0,7070.0,5.05,77296.39,10.93,6.0,461250.0,16.76
2650v2-rx580-32-1024-SL190,3275517737,271252.0,22040.0,8.13,61527.72,2.79,18.0,1633400.0,3.77
3600-3070M-16-512-K1,3200161956,143973.0,6955.0,4.83,47787.1,6.87,3.0,346000.0,13.81
2650v2-3070M-64-1024-SL190,3416925750,193689.0,12099.0,6.25,35168.49,2.91,9.0,1132286.0,3.11
2650v2-3070M-32-1024-SL190,3275537006,76577.0,2712.0,3.54,31134.42,11.48,0.0,0.0,0
2667v4-5060-64-1024-Z5,2634145701,90238.0,2028.0,2.25,26621.98,13.13,1.0,203000.0,13.11
2650v2-5050-32-1024-SL190,2838835023,61929.0,1511.0,2.44,25215.35,16.69,0.0,0.0,0
2650v2-rx580-64-1024-SL190,3072754573,76651.0,2389.0,3.12,24799.4,10.38,2.0,206654.0,12.0
2650v2-5050-64-1024-SL190,3275541205,110276.0,4114.0,3.73,18409.21,4.47,5.0,769208.0,2.39
2650v2-3070M-16-512-K1,3275535359,101982.0,4653.0,4.56,15393.73,3.31,10.0,1000000.0,1.54
2650v2-2060s-32-1024-SL190,3072649128,68194.0,1934.0,2.84,15304.93,7.91,3.0,343911.0,4.45
2650v2-5050-64-1024-Z5,3089132589,60892.0,1509.0,2.48,15298.32,10.14,1.0,153552.0,9.96
3600-3070M-32-1024-SL190,3200161920,52973.0,1272.0,2.4,13509.56,10.62,1.0,141000.0,9.58
2650v2-rx580-16-512-K1,3200161558,51225.0,1752.0,3.42,12265.01,7.0,1.0,78167.0,15.69
2650v2-3050-64-1024-SL190,3417005117,51614.0,822.0,1.59,6988.72,8.5,0.0,0.0,0
2667v4-5060ti-32-1024-SL190,3417272691,56141.0,973.0,1.73,6286.03,6.46,0.0,0.0,0
2650v2-3060-32-1024-SL190,3417353802,72722.0,1498.0,2.06,6265.43,4.18,0.0,0.0,0
2650v2-3060-64-1024-SL190,3417343128,48103.0,1021.0,2.12,6259.58,6.13,1.0,144548.0,4.33
5600g-16-512,3195398719,37089.0,1427.0,3.85,6217.65,4.36,0.0,0.0,0
2667v4-5060ti-64-1024-SL190,3417293193,73233.0,1189.0,1.62,6215.27,5.23,0.0,0.0,0
2650v2-1660s-16-512-K1,3200162514,78549.0,2898.0,3.69,6151.44,2.12,1.0,86484.0,7.11
2650v2-5050-32-1024-Z5,3416968084,91280.0,2802.0,3.07,6061.01,2.16,0.0,0.0,0
2667v4-5060-32-1024-SL190,3417079949,47812.0,868.0,1.82,6056.25,6.98,0.0,0.0,0
2667v4-5060-64-1024-SL190,3417075017,53815.0,1036.0,1.93,5835.24,5.63,0.0,0.0,0
2667v4-5060-32-1024-Z5,3417039369,44795.0,875.0,1.95,5691.95,6.51,0.0,0.0,0
e5-2650v2-32-1024-MX12,2452147054,0.0,0.0,0,0.0,0,0.0,0.0,0
