seller_article,amount,accruals_for_sale,sale_commission,delivery_charge,return_delivery_charge,type_orders,type_returns,type_services,type_other,op::Доставка покупателю,op::Продвижение с оплатой за заказ,"op::Получение возврата, отмены, невыкупа от покупателя",op::Оплата за клик,op::Оплата эквайринга,op::Звёздные товары,"op::Доставка и обработка возврата, отмены, невыкупа",op::Подписка Premium Plus,op::Услуга за обработку операционных ошибок продавца: отмена,op::Превышение индекса ошибок: отмена,op::Услуги доставки Партнёрами Ozon на схеме realFBS: Лёгкий возврат Почтой России,op::Услуга за обработку операционных ошибок продавца: просроченная доставка
2650v2-rx580-32-1024-SL190,1578406.32,2353400.0,-719646.0,0.0,0.0,28.0,3.0,29.0,49.0,1746636.14,0,-128368.0,0,-25758.77,-12671.0,-1279.05,0,0,0,0,0
2650v2-3070M-64-1024-SL190,1435014.78,2136421.0,-645949.77,0.0,0.0,18.0,8.0,18.0,31.0,1571154.99,0,-89245.58,0,-25392.86,-11310.6,-10191.17,0,0,0,0,0
2650v2-3070M-16-512-K1,1115563.41,1700000.0,-513000.0,0.0,0.0,20.0,4.0,20.0,34.0,1362560.79,0,-213000.0,0,-22131.02,-10000.0,-1866.36,0,0,0,0,0
3600-3070M-16-512-K1,401474.56,582330.0,-167325.8,0.0,0.0,5.0,0,5.0,8.0,411145.38,0,0,0,-6759.17,-2911.65,0,0,0,0,0,0
2650v2-3070M-32-1024-SL190,378151.84,559748.0,-168994.4,0.0,0.0,5.0,2.0,5.0,8.0,387902.12,0,0,0,-4705.39,-2798.76,-2246.13,0,0,0,0,0
2650v2-rx580-32-512-K1,302370.8,466672.0,-146277.04,0.0,0.0,7.0,6.0,8.0,27.0,371506.77,0,-54279.5,0,-7538.85,-2715.61,-4479.01,0,0,0,0,0
2650v2-3060-64-1024-SL190,294222.82,433644.0,-131538.68,0.0,0.0,3.0,0,3.0,7.0,300362.68,0,0,0,-3971.64,-2168.22,0,0,0,0,0,0
2650v2-5050-32-1024-SL190,292347.47,423126.0,-128348.22,0.0,0.0,3.0,0,3.0,3.0,292995.2,0,0,0,1467.9,-2115.63,0,0,0,0,0,0
2667v4-5060-64-1024-Z5,275909.27,406000.0,-125860.0,0.0,0.0,2.0,0,2.0,3.0,280140.0,0,0,0,-2200.73,-2030.0,0,0,0,0,0,0
2650v2-3060-32-1024-SL190,270551.07,396111.0,-122794.41,0.0,0.0,3.0,0,3.0,5.0,273316.59,0,0,0,-784.95,-1980.57,0,0,0,0,0,0
2650v2-rx580-64-1024-SL190,224026.86,313308.0,-81626.43,0.0,0.0,4.0,1.0,4.0,4.0,297284.1,0,-69000.0,0,-2190.68,-2066.56,0,0,0,0,0,0
2650v2-5050-64-1024-Z5,208441.44,307104.0,-92131.2,0.0,0.0,2.0,0,2.0,2.0,213229.34,0,0,0,-3252.38,-1535.52,0,0,0,0,0,0
2650v2-5050-64-1024-SL190,204065.31,310656.0,-99303.36,0.0,0.0,7.0,7.0,8.0,14.0,742960.35,0,-533374.56,0,3560.54,-5374.32,-3493.7,0,0,0,0,0
2650v2-5050-32-1024-Z5,190045.02,282084.0,-87446.04,0.0,0.0,2.0,0,2.0,2.0,194637.96,0,0,0,-3182.52,-1410.42,0,0,0,0,0,0
2650v2-rx580-16-512-K1,162164.86,238334.0,-69116.86,0.0,0.0,3.0,0,3.0,7.0,166034.32,0,0,0,-2677.78,-1191.68,0,0,0,0,0,0
2650v2-2060s-32-1024-SL190,147730.7,229274.0,-68782.2,0.0,0.0,2.0,3.0,2.0,17.0,158755.34,0,0,0,-5332.23,-1146.38,-4546.03,0,0,0,0,0
2667v4-5060-32-1024-Z5,119519.48,174481.0,-54089.11,0.0,0.0,1.0,0,1.0,0,120391.89,0,0,0,0,-872.41,0,0,0,0,0,0
2650v2-1660s-16-512-K1,98905.76,172968.0,-51890.4,0.0,0.0,3.0,5.0,4.0,17.0,176714.04,0,-61403.64,0,-3938.31,-1297.26,-10455.07,0,0,0,0,0
5600X-16-512-3070,95900.0,140000.0,-43400.0,0.0,0.0,1.0,0,1.0,0,96600.0,0,0,0,0,-700.0,0,0,0,0,0,0
750-512,51090.31,70652.0,-18369.52,0.0,0.0,1.0,0,1.0,0,51443.57,0,0,0,0,-353.26,0,0,0,0,0,0
2650v2-gtx750-32-512,-1298.49,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,0,0,0,745.56,0,-1279.05,0,0,0,0,0
2667v4-5060-32-1024-SL190,-1862.42,0.0,0.0,0.0,0.0,0,0,0,1.0,0,0,0,0,-1862.42,0,0,0,0,0,0,0
5600g-16-512,-3325.2,0.0,0.0,0.0,0.0,0,2.0,0,3.0,0,0,0,0,-1055.98,0,-2269.22,0,0,0,0,0
3600-3070M-32-1024-SL190,-3620.53,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,104586.06,0,-104586.06,0,-2862.66,-757.87,0,0,0,0,0,0
2667v4-5060ti-64-1024-SL190,-4894.42,0.0,0.0,0.0,0.0,0,0,0,2.0,0,0,0,0,-4894.42,0,0,0,0,0,0,0
2650-64,-82318.89,-121000.0,37510.0,0.0,0.0,0,1.0,1.0,1.0,0,0,-83490.0,0,1546.11,0,0,0,0,0,0,0
UNALLOCATED__NO_SKU,-1976429.39,0.0,0.0,0.0,0.0,7.0,0,673.0,0,0,-1433735.8,0,-497153.59,0,0,0,-24990.0,-5000.0,-5000.0,-4110.0,-4000.0
